offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
Sprzedam mieszkanie SCALA PARK MYRKA LEGNICA cesja,296520,7000,Private,0,42.36,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"3.1 mieszkanie deweloperskie, tarninĂłw, Centrum WINDA, BALKON 9m2",315360,6000,Estate Agency,3,52.56,2,Tenement,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"1.1. TarninĂłw Nowe, WykoĹ„czone, balkon, winda, biedronka, centrum",395250,7367.19,Estate Agency,1,53.65,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"A.1. apartament 37,62 m2 parter ogrĂłdek winda BielaĹ„ska Dobry start",252121,6701.78,Estate Agency,0,37.62,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"A.19. apartament 44,67 m2 II piÄ™tro BielaĹ„ska taras 12 m2 z windÄ…",299289,6700,Estate Agency,2,44.67,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"A26 BielaĹ„ska 10 balkon winda 2 pokoje 44,67 m2",299289,6700,Estate Agency,3,44.67,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
Mieszkanie 2-pokojowe Legnica Kwiatowa,185000,3490.57,Private,0,53,2,Tenement,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
A.6. BielaĹ„ska twoje Cztery KÄ…ty parter z tarasem i ogrĂłdkiem,299289,6700,Estate Agency,0,44.67,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"Mieszkanie 59,51 m2 z miejscem postojowym",389000,9333.01,Estate Agency,1,41.68,2,Housing Block,primary,Lubin,Lower Silesia,January,2022,74053,16.2051275,51.3974465
"DÄ™bowa Park, nowe mieszkania MILICZ",240000,6177.61,Estate Agency,3,38.85,2,Housing Block,primary,Milicz,Lower Silesia,January,2022,11758,17.2752485,51.5319957
Nowe mieszkania w Miliczu DÄBOWA PARK,240500,6190.48,Estate Agency,3,38.85,2,Housing Block,primary,Milicz,Lower Silesia,January,2022,11758,17.2752485,51.5319957
Mieszkanie wysoki standard,409999,7141.6,Estate Agency,2,57.41,2,Tenement,primary,OĹ‚awa,Lower Silesia,January,2022,32240,17.2957066,50.9431901
Mieszkanie 50.3 m. + Piwnica,210000,4174.95,Private,4,50.3,2,Housing Block,primary,Polkowice,Lower Silesia,January,2022,22525,16.0713371,51.5039288
Mieszkanie w centrum Prochowic,250000,3980.89,Private,0,62.8,2,Tenement,primary,Prochowice,Lower Silesia,January,2022,3649,16.3644321,51.273422
Mieszkania na sprzedaĹĽ,344799,6300,Estate Agency,0,54.73,2,Housing Block,primary,SobĂłtka,Lower Silesia,January,2022,6991,16.7445705,50.8990885
Dam odstÄ™pne za mieszkanie,30000,600,Private,,,2,,primary,WaĹ‚brzych,Lower Silesia,January,2022,122927,16.2825424,50.7659054
nowe wykoĹ„czone mieszkanie blisko placu Grunwaldzkiego 53.16 mÂ˛ 2 pok,735000,13826.19,Estate Agency,1,53.16,2,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Mieszkanie z rynku pierwotnego we WrocĹ‚awiu,349801,9205.29,Estate Agency,1,38,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
"Dwa pokoje, balkon Jodlowicka !odbiĂłr 01.2022/pĹ‚atnoĹ›Ä‡ 03.2022 CESJA",415500,8445.12,Private,4,49.2,2,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Nowe mieszkanie centrum WrocĹ‚aw ĹšrĂłdmieĹ›cie bez PCC,455000,11318.41,Private,3,40.2,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Mieszkanie z rynku pierwotnego we WrocĹ‚awiu,321223,9447.74,Estate Agency,3,34,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Ĺšwietne na inwestycjÄ™ ul GwiaĹşdzista-49.66m2 obok Skytower,627500,12635.92,Private,5,49.66,2,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
nowe wykoĹ„czone umeblowane mieszkanie blisko pl. Grunwaldzkiego 56.7mÂ˛,719000,12680.78,Estate Agency,1,56.7,2,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
"Pilne, cesja, 2 pokoje, balkon, blisko rynku, bez podatku pcc",445000,13683.89,Private,6,32.52,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
"DÄ™bowa Park, WrocĹ‚aw- Milicz",240800,6235.11,Estate Agency,3,38.62,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
PiÄ™knie 2-pokojowe mieszkanie na KarĹ‚owicach!!!,615840,11988.32,Estate Agency,0,51.37,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Mieszkanie 2-pokojowe z ogrodem!!! KarĹ‚owice,602500,12494.82,Estate Agency,0,48.22,2,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
